oid,x,y,d,theta,phi,true_d,,,
0,-2896.6,-7034.5,0.013907,0.40143,-2.9496,0.012616,,,
0,-2896.6,-6206.9,0.016107,0.40143,-2.9496,0.015119,,,
0,-2896.6,-5379.3,0.017482,0.40143,-2.9496,0.017872,,,
0,-2896.6,-4551.7,0.02093,0.40143,-2.9496,0.020649,,,
0,-2896.6,-3724.1,0.026962,0.40143,-2.9496,0.02307,,,
0,-2896.6,-2896.6,0.028722,0.40143,-2.9496,0.024657,,,
0,-2896.6,-2069,0.024451,0.40143,-2.9496,0.025003,,,
0,-2896.6,-1241.4,0.026269,0.40143,-2.9496,0.023972,,,
0,-2896.6,-413.79,0.025551,0.40143,-2.9496,0.021785,,,
0,-2896.6,413.79,0.021637,0.40143,-2.9496,0.018909,,,
0,-2896.6,1241.4,0.013006,0.40143,-2.9496,0.015839,,,
0,-2896.6,2069,0.013558,0.40143,-2.9496,0.012944,,,
0,-2896.6,2896.6,0.0085659,0.40143,-2.9496,0.010418,,,
0,-2896.6,3724.1,0.0038324,0.40143,-2.9496,0.0083219,,,
0,-2896.6,4551.7,-0.0035047,0.40143,-2.9496,0.0066326,,,
0,-2896.6,5379.3,-0.0055277,0.40143,-2.9496,0.005294,,,
0,-2896.6,6206.9,-0.0020156,0.40143,-2.9496,0.0042419,,,
0,-2896.6,7034.5,-0.0017076,0.40143,-2.9496,0.003417,,,
0,-2896.6,7862.1,-0.009943,0.40143,-2.9496,0.0027691,,,
0,-2896.6,8689.7,-0.0105,0.40143,-2.9496,0.0022585,,,
0,-2896.6,9517.2,-0.0053586,0.40143,-2.9496,0.0018538,,,
0,-2896.6,10345,-0.0048206,0.40143,-2.9496,0.0015312,,,
0,-2896.6,11172,0.0019355,0.40143,-2.9496,0.0012723,,,
