oid,x,y,d,theta,phi,true_d,,,,
0,-5379.3,-7034.5,0.025159,0.54105,-0.19199,0.016559,,,,
0,-5379.3,-6206.9,0.025372,0.54105,-0.19199,0.018877,,,,
0,-5379.3,-5379.3,0.026455,0.54105,-0.19199,0.021209,,,,
0,-5379.3,-4551.7,0.02371,0.54105,-0.19199,0.023362,,,,
0,-5379.3,-3724.1,0.032556,0.54105,-0.19199,0.025098,,,,
0,-5379.3,-2896.6,0.034669,0.54105,-0.19199,0.026173,,,,
0,-5379.3,-2069,0.029648,0.54105,-0.19199,0.026406,,,,
0,-5379.3,-1241.4,0.037743,0.54105,-0.19199,0.025739,,,,
0,-5379.3,-413.79,0.027222,0.54105,-0.19199,0.024264,,,,
0,-5379.3,413.79,0.022049,0.54105,-0.19199,0.022188,,,,
0,-5379.3,1241.4,0.018182,0.54105,-0.19199,0.019771,,,,
0,-5379.3,2069,0.013426,0.54105,-0.19199,0.017257,,,,
0,-5379.3,2896.6,0.0059664,0.54105,-0.19199,0.014832,,,,
0,-5379.3,3724.1,0.0048279,0.54105,-0.19199,0.012612,,,,
0,-5379.3,4551.7,-0.0012424,0.54105,-0.19199,0.010653,,,,
0,-5379.3,5379.3,0.0046627,0.54105,-0.19199,0.0089671,,,,
0,-5379.3,6206.9,0.00038362,0.54105,-0.19199,0.0075404,,,,
0,-5379.3,7034.5,0.0011742,0.54105,-0.19199,0.0063457,,,,
0,-5379.3,7862.1,0.0004698,0.54105,-0.19199,0.0053514,,,,
0,-5379.3,8689.7,0.0012397,0.54105,-0.19199,0.0045262,,,,
0,-5379.3,9517.2,0.0026041,0.54105,-0.19199,0.0038419,,,,
0,-5379.3,10345,-0.0064152,0.54105,-0.19199,0.0032736,,,,
0,-5379.3,11172,-0.0041737,0.54105,-0.19199,0.0028008,,,,
0,-5379.3,12000,0.0014556,0.54105,-0.19199,0.0024061,,,,
0,-4551.7,-12000,-0.0050054,0.54105,-0.19199,0.007079,,,,
0,-4551.7,-11172,0.010399,0.54105,-0.19199,0.0082794,,,,
0,-4551.7,-10345,0.018916,0.54105,-0.19199,0.0097189,,,,
0,-4551.7,-9517.2,0.0080449,0.54105,-0.19199,0.011438,,,,
0,-4551.7,-8689.7,0.0082626,0.54105,-0.19199,0.013473,,,,
0,-4551.7,-7862.1,0.010425,0.54105,-0.19199,0.015847,,,,
0,-4551.7,-7034.5,0.017118,0.54105,-0.19199,0.018549,,,,
0,-4551.7,-6206.9,0.015733,0.54105,-0.19199,0.021513,,,,
0,-4551.7,-5379.3,0.027852,0.54105,-0.19199,0.024586,,,,
0,-4551.7,-4551.7,0.032643,0.54105,-0.19199,0.027512,,,,
0,-4551.7,-3724.1,0.034734,0.54105,-0.19199,0.029939,,,,
0,-4551.7,-2896.6,0.033275,0.54105,-0.19199,0.031488,,,,
0,-4551.7,-2069,0.040334,0.54105,-0.19199,0.031859,,,,
0,-4551.7,-1241.4,0.027617,0.54105,-0.19199,0.030955,,,,
0,-4551.7,-413.79,0.031622,0.54105,-0.19199,0.028919,,,,
